RETURN,QTY,SALES,DISTINCT_CATEGORIES,ENTROPY_CATEGORIES,DISTINCT_PRODUCTS,ENTROPY_PRODUCTS,RECORD,FIT,SEASON,ORDER_DATE,DISCOUNT,FREESHIPPING,PAYMENT,SHIPPING_FEES,SEX,COUNTRY,PREVIOUS_RETURNS,PREVIOUS_TRANSACTIONS,train
1,7,563.2577335731035,2,0.2857142857142857,6,0.8571428571428571,7,14,20133,2013-01-16,1,0,Credit card,16,F,United Kingdom,11,19,0
0,2,86.0,2,1.0,2,1.0,2,2,20113,2011-08-30,1,0,Cash,8,F,Italy,0,0,1
0,1,122.5,1,1.0,1,1.0,1,2,20123,2012-12-14,1,0,Paypal,7,F,Germany,0,1,1
0,2,274.0,2,1.0,2,1.0,2,5,20102,2011-03-21,0,0,Cash,8,F,Altro Europa,0,5,0
0,1,70.5,1,1.0,1,1.0,1,2,20133,2013-07-22,1,1,Credit card,0,M,Netherlands,2,2,1
0,2,361.2,2,1.0,2,1.0,2,5,1201,2014-06-09,1,0,Credit card,8,F,Italy,1,7,0
0,1,53.0,1,1.0,1,1.0,1,0,1201,2014-07-18,0,1,Cash,0,M,Altro Europa,27,44,0
0,1,326.0,1,1.0,1,1.0,1,3,20113,2011-12-13,0,0,Credit card,7,F,Altro Europa,0,0,0
0,1,226.8,1,1.0,1,1.0,1,3,1201,2014-07-08,1,0,Credit card,20,F,Russian Federation,0,0,0
1,1,177.0435483870967,1,1.0,1,1.0,1,0,20133,2013-05-02,0,0,Credit card,10,F,United Kingdom,0,0,0
0,1,172.0,1,1.0,1,1.0,1,2,20102,2010-09-28,0,0,Cash,7,F,Italy,0,0,1
0,2,264.2892857142857,1,0.5,1,0.5,2,6,1201,2013-11-07,0,0,Paypal,10,F,France,0,0,0
0,2,256.0,1,0.5,2,1.0,2,4,20113,2011-10-28,0,0,Cash,8,F,Altro Europa,0,18,0
0,2,146.0,2,1.0,2,1.0,2,4,20123,2012-06-12,0,1,Paypal,0,F,Italy,0,2,1
0,1,330.0,1,1.0,1,1.0,1,2,20123,2012-10-11,0,0,Paypal,10,F,France,0,0,0
0,2,48.0,1,0.5,1,0.5,2,0,20102,2011-08-10,1,1,Cash,0,F,Italy,0,15,0
0,2,146.5,1,0.5,2,1.0,2,6,20123,2012-01-17,1,0,Cash,8,F,Italy,0,0,0
0,2,186.0,2,1.0,2,1.0,2,0,20133,2013-01-14,1,0,Credit card,21,M,United States,0,0,0
1,2,500.86,1,0.5,1,0.5,2,6,20123,2012-10-08,0,0,Credit card,10,F,France,0,2,0
0,1,148.0,1,1.0,1,1.0,1,3,20102,2011-03-01,0,1,Credit card,0,F,Italy,0,2,1
1,1,176.20277777777778,1,1.0,1,1.0,1,2,20133,2013-03-13,0,0,Credit card,7,F,France,13,33,0
0,2,212.0,1,0.5,2,1.0,2,6,1201,2013-09-12,0,0,Credit card,8,F,Italy,0,0,0
1,2,270.9228571428572,1,0.5,2,1.0,2,4,20102,2011-08-10,0,0,Amex,8,F,Netherlands,0,2,0
1,1,124.888,1,1.0,1,1.0,1,2,20123,2012-10-01,0,0,Credit card,7,F,Italy,20,65,1
0,2,364.0,2,1.0,2,1.0,2,6,1201,2014-01-23,0,0,Credit card,21,F,Russian Federation,0,1,0
0,2,192.0,2,1.0,2,1.0,2,4,20113,2011-08-31,0,0,Cash,11,F,Italy,2,15,0
0,1,152.6,1,1.0,1,1.0,1,2,20133,2013-06-21,1,0,Credit card,10,F,Germany,3,13,1
0,1,61.0,1,1.0,1,1.0,1,0,1201,2013-11-25,0,0,Credit card,10,F,United Kingdom,0,2,1
1,2,100.3,2,1.0,2,1.0,2,5,20102,2011-08-22,1,1,Credit card,0,F,Italy,1,10,1
0,1,113.0,1,1.0,1,1.0,1,2,20092,2009-11-23,0,0,Credit card,7,F,Germany,0,2,1
0,2,132.0,2,1.0,2,1.0,2,4,20133,2013-01-18,1,1,Cash,0,F,Germany,0,0,0
0,1,41.5,1,1.0,1,1.0,1,2,20102,2011-08-02,1,0,Credit card,7,M,France,0,11,0
1,1,148.58571428571432,1,1.0,1,1.0,1,2,20123,2012-12-10,0,1,Credit card,0,F,Netherlands,0,0,0
0,1,198.0,1,1.0,1,1.0,1,2,20101,2010-03-22,0,0,Credit card,7,M,Italy,0,0,1
0,3,386.0,2,0.6666666666666666,3,1.0,3,0,20102,2011-01-26,1,0,Cash,9,F,Altro Europa,0,0,1
0,1,103.6,1,1.0,1,1.0,1,3,20102,2011-07-04,1,0,Cash,7,M,Italy,3,23,0
0,2,133.8,2,1.0,2,1.0,2,2,1201,2013-09-30,1,1,Paypal,0,M,Italy,0,0,1
0,1,58.8,1,1.0,1,1.0,1,2,20091,2009-07-14,1,0,Credit card,7,F,Italy,0,0,1
0,1,155.0,1,1.0,1,1.0,1,3,20133,2013-07-02,0,0,Cash,10,F,Germany,3,23,0
1,2,169.3148148148148,1,0.5,2,1.0,2,2,20123,2012-09-17,0,0,Cash,8,F,Poland,7,52,1
0,1,37.1,1,1.0,1,1.0,1,0,1201,2014-01-13,1,0,Credit card,7,F,Italy,0,0,0
0,1,234.0,1,1.0,1,1.0,1,2,20102,2011-02-22,1,0,Cash,10,F,Italy,0,1,0
0,1,154.0,1,1.0,1,1.0,1,2,20133,2013-05-20,0,0,Credit card,7,F,Italy,0,0,0
0,1,98.0,1,1.0,1,1.0,1,3,20113,2011-10-10,0,0,Credit card,10,F,Italy,0,0,1
1,1,166.2,1,1.0,1,1.0,1,3,20113,2011-11-14,0,0,Credit card,20,F,Russian Federation,0,0,1
0,1,191.2,1,1.0,1,1.0,1,2,20113,2011-11-23,1,0,Paypal,7,F,Italy,0,2,0
0,1,34.0,1,1.0,1,1.0,1,2,20102,2011-07-28,1,0,Cash,7,F,Italy,0,1,1
0,2,205.0,2,1.0,2,1.0,2,4,20113,2011-10-11,0,1,Cash,0,F,Italy,4,46,1
0,1,91.0,1,1.0,1,1.0,1,2,20133,2013-04-08,0,0,Paypal,7,F,Italy,7,11,1
0,2,252.0,2,1.0,2,1.0,2,4,20102,2011-03-02,1,1,Cash,0,F,Italy,0,9,0
1,1,89.584375,1,1.0,1,1.0,1,0,20102,2011-02-14,1,0,Cash,7,F,Altro Europa,4,4,1
0,1,222.5,1,1.0,1,1.0,1,1,20133,2013-01-18,1,1,Credit card,0,F,Altro Europa,0,5,1
0,1,62.0,1,1.0,1,1.0,1,3,20102,2011-01-18,1,0,Credit card,7,F,Italy,0,0,0
0,1,202.3,1,1.0,1,1.0,1,2,20133,2013-07-19,1,0,Cash,10,F,Poland,2,7,1
1,4,381.9397727272727,4,1.0,4,1.0,4,7,20092,2010-01-28,1,1,Credit card,0,F,Germany,3,3,1
1,2,263.3774808184143,2,1.0,2,1.0,2,5,20113,2011-10-17,0,0,Paypal,8,F,Germany,10,10,0
1,1,92.36923076923077,1,1.0,1,1.0,1,3,20102,2011-07-08,1,1,Cash,0,M,Italy,0,0,0
0,1,190.0,1,1.0,1,1.0,1,3,20113,2011-10-28,0,0,Cash,10,F,Poland,0,5,0
1,3,539.0766666666667,2,0.6666666666666666,2,0.6666666666666666,3,6,20102,2010-12-20,1,0,Cash,7,F,Italy,2,5,0
0,1,120.0,1,1.0,1,1.0,1,3,20123,2012-06-29,1,0,Credit card,7,F,Germany,0,7,0
1,3,265.1403846153846,2,0.6666666666666666,2,0.6666666666666666,3,6,20123,2012-01-27,1,1,Credit card,0,M,Italy,4,10,1
0,1,156.8,1,1.0,1,1.0,1,0,20113,2011-12-29,1,0,Paypal,7,F,Poland,3,17,0
1,2,238.4857142857143,2,1.0,2,1.0,2,4,20133,2013-02-12,0,0,Credit card,11,F,Netherlands,7,8,0
0,1,177.0,1,1.0,1,1.0,1,3,20092,2009-10-29,0,0,Cash,7,F,Italy,0,1,0
0,3,354.6,3,1.0,3,1.0,3,4,20123,2012-10-25,1,0,Credit card,12,M,Italy,11,383,0
0,1,166.0,1,1.0,1,1.0,1,2,1201,2013-12-30,0,0,Cash,10,F,Belgium,2,6,1
0,1,240.0,1,1.0,1,1.0,1,3,20102,2011-05-30,0,0,Cash,7,F,Germany,0,1,1
0,1,336.0,1,1.0,1,1.0,1,3,20123,2012-12-17,1,1,Credit card,0,F,Russian Federation,0,0,0
0,1,37.5,1,1.0,1,1.0,1,0,1201,2013-08-14,1,0,Credit card,15,F,Altro Europa,0,0,0
1,1,349.77757575757573,1,1.0,1,1.0,1,2,1201,2013-10-07,0,0,Paypal,10,F,Poland,0,0,0
0,4,698.0,2,0.5,4,1.0,4,7,20123,2012-03-26,0,0,Credit card,23,M,Russian Federation,0,0,0
0,2,93.0,2,1.0,2,1.0,2,4,20102,2010-12-01,0,0,Cash,8,F,Italy,0,2,1
1,1,296.15714285714284,1,1.0,1,1.0,1,0,20102,2011-03-09,1,1,Cash,0,F,Italy,11,26,1
0,1,18.0,1,1.0,1,1.0,1,0,20102,2011-01-21,1,0,Cash,7,F,Italy,0,0,0
0,1,63.7,1,1.0,1,1.0,1,2,20102,2011-06-27,1,1,Credit card,0,F,Altro Europa,0,0,0
0,1,44.5,1,1.0,1,1.0,1,3,20102,2011-02-18,1,0,Cash,7,F,Italy,0,1,1
0,1,86.8,1,1.0,1,1.0,1,2,20092,2009-11-02,1,0,Cash,7,F,Italy,0,5,1
0,1,348.0,1,1.0,1,1.0,1,3,20113,2011-10-12,0,0,Cash,7,F,Italy,0,0,0
0,2,79.0,2,1.0,2,1.0,2,2,20102,2011-02-28,1,1,Cash,0,F,Italy,0,5,0
0,1,419.0,1,1.0,1,1.0,1,2,20123,2012-03-28,0,0,Cash,7,F,Italy,2,23,0
0,1,119.5,1,1.0,1,1.0,1,2,20123,2012-01-16,1,0,Paypal,7,F,Italy,8,13,1
0,2,123.0,2,1.0,2,1.0,2,2,20091,2008-12-22,0,0,Credit card,8,F,Italy,0,0,0
1,1,185.75,1,1.0,1,1.0,1,2,1201,2013-08-13,0,0,Credit card,10,M,Italy,0,1,0
0,1,100.0,1,1.0,1,1.0,1,3,20123,2012-07-09,1,0,Cash,7,F,Austria,1,1,1
0,1,47.5,1,1.0,1,1.0,1,0,20102,2011-08-08,1,0,Cash,7,F,Belgium,1,5,0
1,2,972.3333333333336,1,0.5,1,0.5,2,4,1201,2014-06-23,1,0,Credit card,10,F,Germany,0,0,0
0,1,223.0,1,1.0,1,1.0,1,2,20101,2010-04-19,0,0,Cash,7,F,Germany,0,0,0
0,3,628.0,3,1.0,3,1.0,3,8,20133,2013-04-08,0,0,Credit card,22,F,Russian Federation,0,3,1
0,3,108.1,2,0.6666666666666666,3,1.0,3,3,20123,2012-07-12,1,0,Credit card,12,F,Italy,1,7,1
0,1,48.3,1,1.0,1,1.0,1,2,20133,2013-07-02,1,0,Paypal,7,F,Italy,0,5,0
0,1,68.0,1,1.0,1,1.0,1,2,20123,2012-07-11,1,0,Credit card,7,F,Italy,0,0,0
0,6,232.0,5,0.8333333333333334,6,1.0,6,11,20123,2012-01-04,1,0,Credit card,12,F,Belgium,1,6,0
0,4,597.8,3,0.75,4,1.0,4,10,1201,2013-12-30,1,0,Amex,13,M,Germany,0,0,0
0,1,154.0,1,1.0,1,1.0,1,2,1201,2014-02-18,0,0,Amex,10,F,Netherlands,0,0,0
0,1,97.0,1,1.0,1,1.0,1,2,20102,2011-03-07,0,0,Paypal,7,M,Germany,1,4,0
0,4,938.0,4,1.0,4,1.0,4,8,1201,2014-06-04,0,0,Credit card,13,F,Germany,0,0,0
0,2,99.0,2,1.0,2,1.0,2,4,1201,2014-02-04,1,1,Credit card,0,M,Italy,0,0,0
0,2,303.0,2,1.0,2,1.0,2,4,20133,2013-02-11,0,1,Credit card,0,F,Poland,0,4,0
0,4,235.5,3,0.75,4,1.0,4,6,1201,2014-01-21,1,0,Paypal,23,F,Russian Federation,0,0,0
0,1,151.0,1,1.0,1,1.0,1,2,1201,2014-05-28,0,1,Credit card,0,F,Austria,1,1,0
0,1,176.4,1,1.0,1,1.0,1,3,20102,2010-11-29,1,1,Cash,0,F,Italy,0,2,0
0,1,94.5,1,1.0,1,1.0,1,0,20133,2013-02-11,1,1,Cash,0,F,Poland,30,130,0
0,1,68.0,1,1.0,1,1.0,1,2,20101,2010-03-18,0,0,Credit card,7,F,Italy,0,2,0
0,3,155.0,2,0.6666666666666666,3,1.0,3,2,1201,2014-08-06,1,0,Cash,9,F,Italy,2,6,0
0,1,195.0,1,1.0,1,1.0,1,3,20123,2012-11-13,0,0,Credit card,7,F,Germany,0,1,1
0,3,102.0,2,0.6666666666666666,3,1.0,3,7,20102,2011-02-25,1,1,Cash,0,F,Italy,9,50,1
1,1,193.8307692307692,1,1.0,1,1.0,1,2,20123,2012-01-05,1,1,Cash,0,F,Italy,5,18,0
0,1,297.0,1,1.0,1,1.0,1,2,20102,2011-05-13,0,0,Credit card,7,F,Denmark,1,1,1
0,9,493.0,6,0.6666666666666666,7,0.7777777777777778,9,11,20133,2013-06-24,1,0,Cash,18,M,Germany,17,33,0
0,1,137.0,1,1.0,1,1.0,1,3,1201,2014-04-04,0,0,Credit card,10,F,Germany,2,3,0
1,1,149.3896551724138,1,1.0,1,1.0,1,2,20113,2011-12-19,1,0,Cash,7,M,Italy,1,1,0
0,2,103.0,2,1.0,2,1.0,2,4,20123,2012-01-19,1,0,Credit card,8,F,Italy,1,20,0
0,1,194.0,1,1.0,1,1.0,1,3,20092,2009-11-04,0,0,Cash,10,F,Italy,0,1,0
0,1,32.0,1,1.0,1,1.0,1,2,20133,2013-03-04,0,0,Credit card,7,F,Altro Europa,1,13,0
0,1,52.0,1,1.0,1,1.0,1,1,20123,2012-07-31,1,1,Credit card,0,F,Germany,2,3,0
0,3,243.4,3,1.0,3,1.0,3,7,20102,2010-12-13,1,0,Credit card,12,F,Poland,2,12,1
0,1,70.0,1,1.0,1,1.0,1,2,20123,2012-09-03,0,0,Credit card,7,F,Italy,0,0,1
0,2,242.9,2,1.0,2,1.0,2,5,20102,2010-12-21,1,1,Cash,0,F,Germany,0,0,0
0,1,67.2,1,1.0,1,1.0,1,3,20101,2010-07-30,1,0,Paypal,7,F,Germany,1,5,0
0,1,148.0,1,1.0,1,1.0,1,3,1201,2014-02-24,0,0,Credit card,7,F,Italy,2,3,0
0,1,80.25,1,1.0,1,1.0,1,2,20123,2012-11-27,1,0,Credit card,7,F,Italy,0,1,1
0,3,455.3,2,0.6666666666666666,3,1.0,3,2,20092,2009-12-21,1,1,Cash,0,F,Italy,1,5,0
0,3,166.0,3,1.0,3,1.0,3,7,20102,2011-04-06,0,0,Cash,9,M,Italy,0,0,1
0,1,36.4,1,1.0,1,1.0,1,2,20102,2011-02-11,1,0,Credit card,10,F,Altro Europa,0,1,1
0,5,485.0,3,0.6,5,1.0,5,11,20101,2010-04-09,0,1,Credit card,0,F,Germany,1,3,0
1,2,103.8,2,1.0,2,1.0,2,2,20101,2010-03-15,0,0,Paypal,8,F,Italy,0,0,0
0,3,212.0,2,0.6666666666666666,3,1.0,3,8,20102,2011-01-26,1,0,Cash,9,F,Italy,0,1,0
0,1,313.0,1,1.0,1,1.0,1,2,20101,2010-08-03,0,0,Credit card,7,F,Germany,0,0,0
0,2,150.0,2,1.0,2,1.0,2,4,20123,2012-11-12,0,0,Paypal,21,F,Russian Federation,0,1,0
0,1,458.0,1,1.0,1,1.0,1,3,20113,2011-11-10,0,0,Amex,10,F,Italy,1,3,1
1,1,83.85384615384616,1,1.0,1,1.0,1,2,20123,2012-03-26,0,0,Credit card,7,F,Netherlands,18,22,0
0,2,242.0,1,0.5,2,1.0,2,6,1201,2013-11-05,0,0,Credit card,8,F,Italy,0,0,0
0,1,95.0,1,1.0,1,1.0,1,2,20133,2013-02-13,0,0,Cash,10,F,Austria,15,23,0
0,3,412.0,3,1.0,3,1.0,3,5,20123,2012-01-31,1,0,Cash,12,F,Italy,2,14,1
1,1,160.955,1,1.0,1,1.0,1,3,1201,2013-10-15,0,0,Amex,15,F,Germany,0,0,0
0,5,383.0,5,1.0,5,1.0,5,11,20123,2012-03-09,0,0,Credit card,11,M,Austria,6,33,0
0,1,61.0,1,1.0,1,1.0,1,2,20102,2011-08-19,1,0,Cash,7,M,Germany,0,7,1
1,2,537.84,1,0.5,1,0.5,2,4,1201,2014-02-28,0,0,Cash,11,F,Germany,0,0,1
0,1,49.5,1,1.0,1,1.0,1,2,20092,2010-02-18,1,0,Credit card,7,F,Italy,10,33,0
1,6,329.7866666666667,5,0.8333333333333334,6,1.0,6,6,1201,2013-09-02,0,1,Cash,0,F,Italy,1,1,1
0,4,353.5,4,1.0,4,1.0,4,7,20092,2010-01-27,1,0,Cash,13,F,Poland,0,1,0
0,1,506.0,1,1.0,1,1.0,1,2,20113,2011-10-25,0,0,Cash,10,F,Altro Europa,0,0,0
0,1,126.0,1,1.0,1,1.0,1,3,20102,2010-10-26,0,1,Credit card,0,F,United Kingdom,4,4,1
0,1,198.0,1,1.0,1,1.0,1,3,20092,2010-03-03,1,1,Cash,0,F,Italy,4,7,1
0,2,188.0,2,1.0,2,1.0,2,6,20123,2012-01-30,1,1,Credit card,0,F,Italy,1,2,0
0,3,199.0,2,0.6666666666666666,3,1.0,3,6,1201,2013-09-26,1,0,Cash,9,F,Italy,0,0,0
1,2,233.35714285714286,2,1.0,2,1.0,2,4,20102,2011-01-24,1,0,Cash,8,F,Italy,2,10,0
1,3,370.98235294117654,2,0.6666666666666666,3,1.0,3,8,20102,2010-11-15,0,0,Cash,9,F,Italy,4,16,0
0,1,128.0,1,1.0,1,1.0,1,2,20123,2012-05-07,0,1,Credit card,0,M,Italy,3,4,0
1,5,328.6,4,0.8,4,0.8,5,8,20113,2011-12-20,1,1,Cash,0,F,Italy,1,15,0
0,2,61.0,2,1.0,2,1.0,2,5,20123,2012-02-27,1,0,Paypal,8,F,Italy,0,0,1
0,1,132.0,1,1.0,1,1.0,1,2,20101,2010-04-19,0,0,Cash,7,F,Italy,0,4,0
0,2,188.0,2,1.0,2,1.0,2,5,20133,2013-07-23,1,0,Credit card,11,F,Italy,4,50,0
0,1,176.0,1,1.0,1,1.0,1,2,20123,2012-11-05,0,0,Credit card,7,F,Netherlands,0,5,1
1,2,188.64210526315796,1,0.5,1,0.5,2,4,20133,2013-01-07,1,0,Amex,7,F,Italy,0,4,0
0,1,209.0,1,1.0,1,1.0,1,0,20092,2010-02-01,0,1,Credit card,0,F,Italy,2,17,0
1,1,269.08754098360663,1,1.0,1,1.0,1,3,20123,2012-11-20,1,0,Credit card,7,F,Italy,4,62,1
0,1,32.1,1,1.0,1,1.0,1,2,20113,2011-09-23,1,0,Cash,7,M,Italy,0,0,1
0,1,99.2,1,1.0,1,1.0,1,0,20102,2011-07-05,1,0,Cash,7,F,Italy,0,2,0
0,1,72.5,1,1.0,1,1.0,1,0,20091,2009-02-06,1,0,Credit card,7,F,Italy,0,1,1
0,1,202.0,1,1.0,1,1.0,1,2,1201,2014-08-06,0,0,Amex,15,M,Altro Europa,0,2,0
